"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1400000US17001000100","Census Tract 1; Adams County; Illinois","2321","230","2069","270","252","111",
"1400000US17001000201","Census Tract 2.01; Adams County; Illinois","887","98","658","95","229","74",
"1400000US17001000202","Census Tract 2.02; Adams County; Illinois","1072","117","703","119","369","128",
"1400000US17001000400","Census Tract 4; Adams County; Illinois","1522","213","750","173","772","223",
"1400000US17001000500","Census Tract 5; Adams County; Illinois","848","130","329","98","519","144",
"1400000US17001000600","Census Tract 6; Adams County; Illinois","1866","207","1249","205","617","169",
"1400000US17001000700","Census Tract 7; Adams County; Illinois","718","178","47","33","671","179",
"1400000US17001000800","Census Tract 8; Adams County; Illinois","1080","172","461","143","619","133",
"1400000US17001000900","Census Tract 9; Adams County; Illinois","1228","218","691","148","537","188",
"1400000US17001001001","Census Tract 10.01; Adams County; Illinois","1436","106","1141","141","295","103",
"1400000US17001001002","Census Tract 10.02; Adams County; Illinois","1199","74","916","94","283","100",
"1400000US17001001100","Census Tract 11; Adams County; Illinois","3257","251","2185","212","1072","244",
"1400000US17001010100","Census Tract 101; Adams County; Illinois","1919","143","1597","133","322","67",
"1400000US17001010200","Census Tract 102; Adams County; Illinois","1536","152","1161","140","375","92",
"1400000US17001010301","Census Tract 103.01; Adams County; Illinois","1009","107","972","110","37","26",
"1400000US17001010302","Census Tract 103.02; Adams County; Illinois","1147","123","1035","119","112","54",
"1400000US17001010400","Census Tract 104; Adams County; Illinois","1281","140","1190","158","91","67",
"1400000US17001010500","Census Tract 105; Adams County; Illinois","1283","131","991","155","292","116",
"1400000US17001010600","Census Tract 106; Adams County; Illinois","2306","220","1992","268","314","178",
"1400000US17003957600","Census Tract 9576; Alexander County; Illinois","680","77","559","74","121","45",
"1400000US17003957700","Census Tract 9577; Alexander County; Illinois","515","72","453","74","62","35",
"1400000US17003957800","Census Tract 9578; Alexander County; Illinois","404","74","296","84","108","48",
"1400000US17003957900","Census Tract 9579; Alexander County; Illinois","305","77","169","63","136","59",
"1400000US17005951200","Census Tract 9512; Bond County; Illinois","1308","133","1033","117","275","89",
"1400000US17005951300","Census Tract 9513; Bond County; Illinois","2140","194","1388","220","752","208",
"1400000US17005951400","Census Tract 9514; Bond County; Illinois","1047","94","939","95","108","70",
"1400000US17005951500","Census Tract 9515; Bond County; Illinois","1652","165","1349","139","303","86",
"1400000US17007010101","Census Tract 101.01; Boone County; Illinois","1672","196","1190","194","482","164",
"1400000US17007010102","Census Tract 101.02; Boone County; Illinois","1616","189","789","169","827","177",
"1400000US17007010200","Census Tract 102; Boone County; Illinois","2251","274","1529","328","722","207",
"1400000US17007010300","Census Tract 103; Boone County; Illinois","2657","261","1933","276","724","200",
"1400000US17007010400","Census Tract 104; Boone County; Illinois","2411","273","2152","287","259","150",
"1400000US17007010501","Census Tract 105.01; Boone County; Illinois","1766","202","1736","203","30","30",
"1400000US17007010502","Census Tract 105.02; Boone County; Illinois","1940","222","1928","224","12","21",
"1400000US17007010601","Census Tract 106.01; Boone County; Illinois","1259","164","1048","154","211","83",
"1400000US17007010603","Census Tract 106.03; Boone County; Illinois","2086","210","1979","210","107","78",
"1400000US17007010604","Census Tract 106.04; Boone County; Illinois","1802","246","1631","247","171","110",
"1400000US17009970400","Census Tract 9704; Brown County; Illinois","1019","100","903","90","116","72",
"1400000US17009970500","Census Tract 9705; Brown County; Illinois","1022","113","562","101","460","123",
"1400000US17011964700","Census Tract 9647; Bureau County; Illinois","1159","87","969","88","190","42",
"1400000US17011964800","Census Tract 9648; Bureau County; Illinois","1334","132","1075","113","259","106",
"1400000US17011964900","Census Tract 9649; Bureau County; Illinois","1196","118","893","108","303","90",
"1400000US17011965000","Census Tract 9650; Bureau County; Illinois","1430","115","1184","104","246","59",
"1400000US17011965100","Census Tract 9651; Bureau County; Illinois","1662","113","1109","116","553","102",
"1400000US17011965200","Census Tract 9652; Bureau County; Illinois","1483","152","1043","158","440","132",
"1400000US17011965300","Census Tract 9653; Bureau County; Illinois","1372","103","1063","111","309","80",
"1400000US17011965400","Census Tract 9654; Bureau County; Illinois","1701","201","1100","169","601","142",
"1400000US17011965500","Census Tract 9655; Bureau County; Illinois","1462","122","1217","119","245","64",
"1400000US17011965600","Census Tract 9656; Bureau County; Illinois","1229","81","1016","87","213","55",
"1400000US17013951200","Census Tract 9512; Calhoun County; Illinois","536","74","446","75","90","40",
"1400000US17013951300","Census Tract 9513; Calhoun County; Illinois","703","64","653","64","50","24",
"1400000US17015960100","Census Tract 9601; Carroll County; Illinois","1573","160","1365","146","208","60",
"1400000US17015960200","Census Tract 9602; Carroll County; Illinois","870","135","710","88","160","89",
"1400000US17015960300","Census Tract 9603; Carroll County; Illinois","1562","172","962","192","600","129",
"1400000US17015960400","Census Tract 9604; Carroll County; Illinois","914","95","650","91","264","73",
"1400000US17015960500","Census Tract 9605; Carroll County; Illinois","1097","95","941","86","156","66",
"1400000US17015960600","Census Tract 9606; Carroll County; Illinois","562","67","449","75","113","36",
"1400000US17017960100","Census Tract 9601; Cass County; Illinois","834","85","696","74","138","48",
"1400000US17017960200","Census Tract 9602; Cass County; Illinois","1075","108","810","94","265","66",
"1400000US17017960300","Census Tract 9603; Cass County; Illinois","1213","134","951","140","262","92",
"1400000US17017960400","Census Tract 9604; Cass County; Illinois","1030","125","727","120","303","102",
"1400000US17017960500","Census Tract 9605; Cass County; Illinois","976","133","710","132","266","86",
"1400000US17019000200","Census Tract 2; Champaign County; Illinois","878","128","354","85","524","136",
"1400000US17019000301","Census Tract 3.01; Champaign County; Illinois","2974","370","17","27","2957","368",
"1400000US17019000302","Census Tract 3.02; Champaign County; Illinois","1906","285","21","36","1885","281",
"1400000US17019000401","Census Tract 4.01; Champaign County; Illinois","802","165","0","13","802","165",
